id,rule,group,key,title,issuer,evidence,suggestion,needs_judgment,initiated
F0034,roman_level,,Digital Video I,Digital Video I,California Community Colleges,roman token(s) I,Digital Video 1,False,True
F0035,roman_level,,DSLR and Lighting for Professional Production I Beginning,DSLR and Lighting for Professional Production I Beginning,California Community Colleges,roman token(s) I,DSLR and Lighting for Professional Production 1 Beginning,False,True
F0036,roman_level,,DSST Principles of Physical Science I,DSST Principles of Physical Science I,Defense Activity for Non-Traditional Education Support (DANTES),roman token(s) I,DSST Principles of Physical Science 1,False,False
F0037,roman_level,,Elementary Spanish I,Elementary Spanish I,California Community Colleges,roman token(s) I,Elementary Spanish 1,False,True
F0038,roman_level,,EMT-II Certification,EMT-II Certification,California Emergency Medical Services Authority (EMSA),roman token(s) II,EMT-2 Certification,False,False
F0039,roman_level,,Engineering Design II Honors Advanced,Engineering Design II Honors Advanced,Chaffey Joint Union High School District,roman token(s) II,Engineering Design 2 Honors Advanced,False,False
F0040,roman_level,,Exploring Culture through Academic Discourse I,Exploring Culture through Academic Discourse I,California Community Colleges,roman token(s) I,Exploring Culture through Academic Discourse 1,False,True
F0041,roman_level,,Exploring Culture through Academic Discourse II,Exploring Culture through Academic Discourse II,California Community Colleges,roman token(s) II,Exploring Culture through Academic Discourse 2,False,True
F0042,roman_level,,Field Studies & Seminar I,Field Studies & Seminar I,California Community Colleges,roman token(s) I,Field Studies & Seminar 1,False,True
F0043,roman_level,,Fire Inspector I,Fire Inspector I,National Fire Protection Association (NFPA),roman token(s) I,Fire Inspector 1,False,False
F0044,roman_level,,Fire Instructor II,Fire Instructor II,National Fire Protection Association (NFPA),roman token(s) II,Fire Instructor 2,False,False
F0045,roman_level,,Fire Officer II,Fire Officer II,National Fire Protection Association (NFPA),roman token(s) II,Fire Officer 2,False,False
F0046,roman_level,,Firefighter I,Firefighter I,National Fire Protection Association (NFPA),roman token(s) I,Firefighter 1,False,False
F0047,roman_level,,Firefighter I Academy,Firefighter I Academy,California State Fire Training (SFT),roman token(s) I,Firefighter 1 Academy,False,False
F0048,roman_level,,Firefighter II,Firefighter II,National Fire Protection Association (NFPA),roman token(s) II,Firefighter 2,False,False
F0049,roman_level,,Floral Design and Practices I,Floral Design and Practices I,California Community Colleges,roman token(s) I,Floral Design and Practices 1,False,True
F0050,roman_level,,French — Level II,French — Level II,California Community Colleges,roman token(s) II,French — Level 2,False,True
F0051,roman_level,,Funeral Service Administration II,Funeral Service Administration II,California Community Colleges,roman token(s) II,Funeral Service Administration 2,False,True
F0052,roman_level,,Funeral Service Ethics and Laws I,Funeral Service Ethics and Laws I,California Community Colleges,roman token(s) I,Funeral Service Ethics and Laws 1,False,True
F0053,roman_level,,Funeral Service Ethics and Laws II,Funeral Service Ethics and Laws II,California Community Colleges,roman token(s) II,Funeral Service Ethics and Laws 2,False,True
F0054,roman_level,,Garde Manger II,Garde Manger II,California Community Colleges,roman token(s) II,Garde Manger 2,False,True
F0055,roman_level,,Graphic Design I,Graphic Design I,Cleveland High School,roman token(s) I,Graphic Design 1,False,True
F0056,roman_level,,I-CAR Estimating Certification,I-CAR Estimating Certification,Inter-Industry Conference on Auto Collision Repair (I-CAR),roman token(s) I,1-CAR Estimating Certification,False,False
F0057,roman_level,,"I-CAR Platinum Certification (Structural, Non-Structural, Refinish, Estimating)","I-CAR Platinum Certification (Structural, Non-Structural, Refinish, Estimating)",Inter-Industry Conference on Auto Collision Repair (I-CAR),roman token(s) I,"1-CAR Platinum Certification (Structural, Non-Structural, Refinish, Estimating)",False,False
F0058,roman_level,,I-CAR Refinish Certification,I-CAR Refinish Certification,Inter-Industry Conference on Auto Collision Repair (I-CAR),roman token(s) I,1-CAR Refinish Certification,False,False
F0059,roman_level,,I-CAR Structural Certification,I-CAR Structural Certification,Inter-Industry Conference on Auto Collision Repair (I-CAR),roman token(s) I,1-CAR Structural Certification,False,False
F0060,roman_level,,Introduction to Acoustical Apprenticeship II,Introduction to Acoustical Apprenticeship II,Carpenters Training Committee for Northern California (CTCNC),roman token(s) II,Introduction to Acoustical Apprenticeship 2,False,False
F0061,roman_level,,Introduction to Apprenticeship I,Introduction to Apprenticeship I,Carpenters Training Committee for Northern California (CTCNC),roman token(s) I,Introduction to Apprenticeship 1,False,False
F0062,roman_level,,Introduction to Apprenticeship II,Introduction to Apprenticeship II,Carpenters Training Committee for Northern California (CTCNC),roman token(s) II,Introduction to Apprenticeship 2,False,False
F0063,roman_level,,Ironworker Apprenticeship — Post Tensioning I,Ironworker Apprenticeship — Post Tensioning I,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) I,Ironworker Apprenticeship — Post Tensioning 1,False,False
F0064,roman_level,,Ironworker Apprenticeship — Post Tensioning II,Ironworker Apprenticeship — Post Tensioning II,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) II,Ironworker Apprenticeship — Post Tensioning 2,False,False
F0065,roman_level,,Ironworker Apprenticeship — Reinforcing II,Ironworker Apprenticeship — Reinforcing II,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) II,Ironworker Apprenticeship — Reinforcing 2,False,False
F0066,roman_level,,Ironworker Apprenticeship — Welding I,Ironworker Apprenticeship — Welding I,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) I,Ironworker Apprenticeship — Welding 1,False,False
F0067,roman_level,,Ironworker Apprenticeship — Welding II,Ironworker Apprenticeship — Welding II,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) II,Ironworker Apprenticeship — Welding 2,False,False
F0068,roman_level,,Ironworker Architectural II,Ironworker Architectural II,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) II,Ironworker Architectural 2,False,True
F0069,roman_level,,Ironworker Architectural III,Ironworker Architectural III,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) III,Ironworker Architectural 3,False,True
F0070,roman_level,,Ironworker Structural Steel I,Ironworker Structural Steel I,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) I,Ironworker Structural Steel 1,False,True
F0071,roman_level,,Ironworker Structural Steel II,Ironworker Structural Steel II,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) II,Ironworker Structural Steel 2,False,True
F0072,roman_level,,"Ironworker Structural, Architectural and Ornamental I","Ironworker Structural, Architectural and Ornamental I","International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) I,"Ironworker Structural, Architectural and Ornamental 1",False,True
F0073,roman_level,,Ironworker Welding III,Ironworker Welding III,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",roman token(s) III,Ironworker Welding 3,False,True
F0074,roman_level,,Jazz and Popular Music Guitar I,Jazz and Popular Music Guitar I,California Community Colleges,roman token(s) I,Jazz and Popular Music Guitar 1,False,False
F0075,roman_level,,Landscape Installation and Maintenance I,Landscape Installation and Maintenance I,California Community Colleges,roman token(s) I,Landscape Installation and Maintenance 1,False,True
F0076,roman_level,,Metal Building Erection I / Foreman Training,Metal Building Erection I / Foreman Training,California Community Colleges,roman token(s) I,Metal Building Erection 1 / Foreman Training,False,True
F0077,roman_level,,Musical Theater Workshop I,Musical Theater Workshop I,California Community Colleges,roman token(s) I,Musical Theater Workshop 1,False,False
F0078,roman_level,,Patient-Centered Care I and Family-Centered Care of Children,Patient-Centered Care I and Family-Centered Care of Children,California Community Colleges,roman token(s) I,Patient-Centered Care 1 and Family-Centered Care of Children,False,True
F0079,roman_level,,Patient-Centered Care II and Maternal Newborn and Mental Health Nursing,Patient-Centered Care II and Maternal Newborn and Mental Health Nursing,California Community Colleges,roman token(s) II,Patient-Centered Care 2 and Maternal Newborn and Mental Health Nursing,False,True
F0080,roman_level,,Patient-Centered Care III and Transition to Professional Practice,Patient-Centered Care III and Transition to Professional Practice,California Community Colleges,roman token(s) III,Patient-Centered Care 3 and Transition to Professional Practice,False,True
F0081,roman_level,,Piano II,Piano II,California Community Colleges,roman token(s) II,Piano 2,False,False
F0082,roman_level,,Programming Concepts and Methodology I,Programming Concepts and Methodology I,California Community Colleges,roman token(s) I,Programming Concepts and Methodology 1,False,True
F0083,roman_level,,Recording Arts Workshop I,Recording Arts Workshop I,California Community Colleges,roman token(s) I,Recording Arts Workshop 1,False,False
F0084,roman_level,,Recording Arts Workshop II,Recording Arts Workshop II,California Community Colleges,roman token(s) II,Recording Arts Workshop 2,False,False
F0085,roman_level,,Recording Arts Workshop III,Recording Arts Workshop III,California Community Colleges,roman token(s) III,Recording Arts Workshop 3,False,False
F0086,roman_level,,Red Hat Linux Administration I,Red Hat Linux Administration I,Red Hat,roman token(s) I,Red Hat Linux Administration 1,False,False
F0087,roman_level,,Restaurant Service and Catering II,Restaurant Service and Catering II,California Community Colleges,roman token(s) II,Restaurant Service and Catering 2,False,True
F0088,roman_level,,SFT Firefighter II,SFT Firefighter II,California State Fire Training (SFT),roman token(s) II,SFT Firefighter 2,False,False
F0089,roman_level,,Single Variable Calculus I Early Transcendentals,Single Variable Calculus I Early Transcendentals,California Community Colleges,roman token(s) I,Single Variable Calculus 1 Early Transcendentals,False,True
F0090,roman_level,,SolidWorks I,SolidWorks I,Dassault Systèmes,roman token(s) I,SolidWorks 1,False,False
F0091,roman_level,,Spanish I,Spanish I,California Community Colleges,roman token(s) I,Spanish 1,False,True
F0092,roman_level,,Spanish II,Spanish II,California Community Colleges,roman token(s) II,Spanish 2,False,True
F0093,roman_level,,Street Dance I,Street Dance I,California Community Colleges,roman token(s) I,Street Dance 1,False,True
F0094,roman_level,,Street Dance II,Street Dance II,California Community Colleges,roman token(s) II,Street Dance 2,False,True
F0095,roman_level,,Street Dance III,Street Dance III,California Community Colleges,roman token(s) III,Street Dance 3,False,True
F0096,roman_level,,Street Dance IV,Street Dance IV,California Community Colleges,roman token(s) IV,Street Dance 4,False,True
F0097,roman_level,,Strength of Architectural Materials I,Strength of Architectural Materials I,California Community Colleges,roman token(s) I,Strength of Architectural Materials 1,False,True
F0098,roman_level,,Swiftwater Rescue Technician I,Swiftwater Rescue Technician I,California State Fire Training (SFT),roman token(s) I,Swiftwater Rescue Technician 1,False,False
F0099,roman_level,,Visual Basic Programming I,Visual Basic Programming I,California Community Colleges,roman token(s) I,Visual Basic Programming 1,False,True
F0100,roman_level,,Voice Development I,Voice Development I,California Community Colleges,roman token(s) I,Voice Development 1,False,True
F0101,roman_level,,Voice Development II,Voice Development II,California Community Colleges,roman token(s) II,Voice Development 2,False,True
F0102,roman_level,,Voice Technique I,Voice Technique I,California Community Colleges,roman token(s) I,Voice Technique 1,False,True
F0103,roman_level,,Voice Technique II,Voice Technique II,California Community Colleges,roman token(s) II,Voice Technique 2,False,True
F0104,roman_level,,Wastewater Treatment Plant Operator Grade I,Wastewater Treatment Plant Operator Grade I,California Water Environment Association (CWEA),roman token(s) I,Wastewater Treatment Plant Operator Grade 1,False,False
F0105,roman_level,,Wastewater Treatment Plant Operator Grade II,Wastewater Treatment Plant Operator Grade II,California Water Environment Association (CWEA),roman token(s) II,Wastewater Treatment Plant Operator Grade 2,False,False
F0106,roman_level,,Water Distribution Operator I,Water Distribution Operator I,California Community Colleges,roman token(s) I,Water Distribution Operator 1,False,False
F0107,roman_level,,Web Publishing I,Web Publishing I,California Community Colleges,roman token(s) I,Web Publishing 1,False,True
F0108,roman_level,,Welding II,Welding II,Carpenters Training Committee for Northern California (CTCNC),roman token(s) II,Welding 2,False,False
F0109,roman_level,,Welding II SMAW,Welding II SMAW,Carpenters Training Committee for Northern California (CTCNC),roman token(s) II,Welding 2 SMAW,False,False
F0110,norm_dup_titles,G001,Blueprint Reading-Commercial,Blueprint Reading-Commercial,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,False
F0111,norm_dup_titles,G001,Carpenters Training Committee for Northern California Apprenticeship — CARP 315,Blueprint Reading-Commercial,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0112,norm_dup_titles,G002,Blueprint Reading-Residential,Blueprint Reading-Residential,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,False
F0113,norm_dup_titles,G002,Carpenters Apprenticeship — CARP 005,Blueprint Reading-Residential,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0114,norm_dup_titles,G002,Carpenters Training Committee for Northern California Apprenticeship — CARP 605,Blueprint Reading-Residential,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0115,norm_dup_titles,G002,Carpenters Training Committee for Northern California Apprenticeship — CARP 702,Blueprint Reading-Residential,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0116,norm_dup_titles,G003,Carpenters Apprenticeship — CARP 017,Introduction to Welding and Cutting,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0117,norm_dup_titles,G003,Introduction to Welding and Cutting,Introduction to Welding and Cutting,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,False
F0118,norm_dup_titles,G004,Carpenters Training Committee for Northern California Apprenticeship — CARP 310,Layout/Leveling Construction Site Practice,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0119,norm_dup_titles,G004,Layout/Leveling Construction Site Practice,Layout/Leveling Construction Site Practice,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,False
F0120,norm_dup_titles,G005,Carpenters Training Committee for Northern California Apprenticeship — CARP 704,Interior Systems,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0121,norm_dup_titles,G005,Interior Systems,Interior Systems,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,False
F0122,level_notation_twins,G006,Fire Instructor 2,Fire Instructor 2,California State Fire Training (SFT),same normalized title as: Fire Instructor II,merge candidates (one credential per C2),True,False
F0123,level_notation_twins,G006,Fire Instructor II,Fire Instructor II,National Fire Protection Association (NFPA),same normalized title as: Fire Instructor 2,merge candidates (one credential per C2),True,False
F0124,level_notation_twins,G007,Firefighter 1,Firefighter 1,California State Fire Training (SFT),same normalized title as: Firefighter I,merge candidates (one credential per C2),True,False
F0125,level_notation_twins,G007,Firefighter I,Firefighter I,National Fire Protection Association (NFPA),same normalized title as: Firefighter 1,merge candidates (one credential per C2),True,False
F0126,level_notation_twins,G008,Firefighter 1 Academy,Firefighter 1 Academy,California State Fire Training (SFT),same normalized title as: Firefighter I Academy,merge candidates (one credential per C2),True,False
F0127,level_notation_twins,G008,Firefighter I Academy,Firefighter I Academy,California State Fire Training (SFT),same normalized title as: Firefighter 1 Academy,merge candidates (one credential per C2),True,False
F0128,level_notation_twins,G009,Firefighter 2,Firefighter 2,California State Fire Training (SFT),same normalized title as: Firefighter II,merge candidates (one credential per C2),True,False
F0129,level_notation_twins,G009,Firefighter II,Firefighter II,National Fire Protection Association (NFPA),same normalized title as: Firefighter 2,merge candidates (one credential per C2),True,False
F0130,norm_dup_titles,G010,Medical Core,Medical Core,Canyon High School,same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0131,norm_dup_titles,G010,Medical Core (High School Articulation) — El Modena High School,Medical Core,El Modena High School,same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0132,norm_dup_titles,G010,Medical Core (High School Articulation) — Orange High School,Medical Core,Orange High School,same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0133,norm_dup_titles,G010,Medical Core (High School Articulation) — Santiago High School,Medical Core,Santiago High School,same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0134,norm_dup_titles,G010,Medical Core (High School Articulation) — Villa Park High School,Medical Core,Villa Park High School,same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0135,norm_dup_titles,G011,Spanish for Heritage Speakers 1,Spanish for Heritage Speakers 1,California Community Colleges,same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0136,norm_dup_titles,G011,Spanish for Spanish Speakers 1,Spanish for Heritage Speakers 1,California Community Colleges,same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0137,norm_dup_titles,G012,Spanish for Heritage Speakers 2,Spanish for Heritage Speakers 2,California Community Colleges,same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0138,norm_dup_titles,G012,Spanish for Spanish Speakers 2,Spanish for Heritage Speakers 2,California Community Colleges,same normalized title as: ,duplicate canonical keys after normalization — merge or differentiate,True,True
F0139,level_notation_twins,G013,Welding 2,Welding 2,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: Welding II,merge candidates (one credential per C2),True,False
F0140,level_notation_twins,G013,Welding II,Welding II,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: Welding 2,merge candidates (one credential per C2),True,False
F0141,level_notation_twins,G014,Welding 2 SMAW,Welding 2 SMAW,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: Welding II SMAW,merge candidates (one credential per C2),True,False
F0142,level_notation_twins,G014,Welding II SMAW,Welding II SMAW,Carpenters Training Committee for Northern California (CTCNC),same normalized title as: Welding 2 SMAW,merge candidates (one credential per C2),True,False
F0143,bare_vs_leveled,,AP Physics,AP Physics,College Board,bare title coexists with leveled sibling(s): AP Physics 1 | AP Physics 2,verify: should this carry a level (was one stripped)?,True,False
F0144,bare_vs_leveled,,Blueprint Reading,Blueprint Reading,California Community Colleges,bare title coexists with leveled sibling(s): Blueprint Reading 1 | Blueprint Reading 2 | Blueprint Reading 3,verify: should this carry a level (was one stripped)?,True,True
F0145,bare_vs_leveled,,Modern Dance Techniques,Modern Dance Techniques,CHAMPS High School,bare title coexists with leveled sibling(s): Modern Dance Techniques 1 | Modern Dance Techniques 2,verify: should this carry a level (was one stripped)?,True,True
F0146,bare_vs_leveled,,Spanish,Spanish,California Community Colleges,bare title coexists with leveled sibling(s): Spanish 3 | Spanish I | Spanish II,verify: should this carry a level (was one stripped)?,True,True
F0147,issuer_variant_cluster,G015,,,,International Code Council (5 rows) | International Code Council (ICC) (5 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0148,issuer_variant_cluster,G016,,,,American Welding Society (1 rows) | American Welding Society (AWS) (18 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0149,issuer_variant_cluster,G017,,,,California Department of Corrections and Rehabilitation (CDCR) / Commission on Correctional Peace Officer Standards and Training (CPOST) (1 rows) | California Department of Corrections and Rehabilitation / Commission on Correctional Peace Officer Standards and Training (CDCR/CPOST) (1 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0150,issuer_variant_cluster,G018,,,,American Payroll Association (APA) (1 rows) | American Payroll Association (PayrollOrg) (1 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0151,issuer_variant_cluster,G019,,,,Dental Board of California (1 rows) | Dental Board of California (DBC) (1 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0152,issuer_variant_cluster,G020,,,,Amazon Web Services (AWS) (5 rows) | American Welding Society (AWS) (18 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0153,issuer_variant_cluster,G021,,,,American College of Sports Medicine (ACSM) (1 rows) | American College of Sports Medicine (ACSM) / National Strength and Conditioning Association (NSCA) (1 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0154,issuer_variant_cluster,G022,,,,American Council on Education (ACE) (21 rows) | American Council on Exercise (ACE) (1 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0155,issuer_variant_cluster,G023,,,,American Heart Association (AHA) (2 rows) | American Heart Association (AHA) / American Red Cross (1 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0156,issuer_variant_cluster,G024,,,,Board of Vocational Nursing and Psychiatric Technicians (BVNPT) (1 rows) | California Board of Vocational Nursing and Psychiatric Technicians (BVNPT) (3 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0157,issuer_variant_cluster,G025,,,,NCCER (13 rows) | National Center for Construction Education and Research (NCCER) (6 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0158,issuer_variant_cluster,G026,,,,National Wildfire Coordinating Group (NWCG) (9 rows) | National Wildfire Coordinating Group (NWCG) / FEMA (1 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0159,issuer_variant_cluster,G027,,,,Occupational Safety and Health Administration (OSHA) (2 rows) | U.S. Occupational Safety and Health Administration (OSHA) (9 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0160,issuer_variant_cluster,G028,,,,U.S. Green Building Council (USGBC) (3 rows) | U.S. Green Building Council (USGBC) / Green Business Certification Inc. (GBCI) (1 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0161,issuer_variant_cluster,G029,,,,United Association (UA) (1 rows) | United Association (UA) Local 342 (23 rows),consolidate to ONE canonical issuer string (C4: long form + short in parens),True,False
F0162,issuer_family_mixed,,Fire Instructor 1,Fire Instructor 1,California State Fire Training (SFT),level family 'Fire Instructor' spans issuers: California State Fire Training (SFT) | National Fire Protection Association (NFPA),verify: same program family should share one issuer (or these are genuinely different credentials),True,False
F0163,issuer_family_mixed,,Fire Instructor 2,Fire Instructor 2,California State Fire Training (SFT),level family 'Fire Instructor' spans issuers: California State Fire Training (SFT) | National Fire Protection Association (NFPA),verify: same program family should share one issuer (or these are genuinely different credentials),True,False
F0164,issuer_family_mixed,,Fire Instructor II,Fire Instructor II,National Fire Protection Association (NFPA),level family 'Fire Instructor' spans issuers: California State Fire Training (SFT) | National Fire Protection Association (NFPA),verify: same program family should share one issuer (or these are genuinely different credentials),True,False
F0165,issuer_family_mixed,,Firefighter 1,Firefighter 1,California State Fire Training (SFT),level family 'Firefighter' spans issuers: California State Fire Training (SFT) | National Fire Protection Association (NFPA),verify: same program family should share one issuer (or these are genuinely different credentials),True,False
